City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,19.33,56,84,9.81,PN,1691635216
1,avarua,-21.2078,-159.775,24.03,69,40,7.2,CK,1691635312
2,campina grande,-7.2306,-35.8811,19.9,88,0,3.6,BR,1691635312
3,bandipura,34.4167,74.65,22.54,78,58,0.84,IN,1691635312
4,thompson,55.7435,-97.8558,15.09,77,20,0.0,CA,1691635312
5,bintulu,3.1667,113.0333,29.23,79,20,1.54,MY,1691635312
6,isafjordur,66.0755,-23.124,6.85,82,44,3.4,IS,1691635312
7,awjilah,29.1081,21.2869,24.17,55,0,5.09,LY,1691635313
8,houghton,47.1219,-88.569,19.34,78,100,2.06,US,1691635231
9,akobo,7.4344,3.9497,20.98,98,100,1.93,NG,1691635313
10,padang,-0.9492,100.3543,29.03,81,62,2.13,ID,1691635064
11,lubumbashi,-11.6609,27.4794,11.94,52,0,1.88,CD,1691635171
12,urengoy,65.9667,78.3667,10.83,89,99,9.41,RU,1691635313
13,punta arenas,-53.15,-70.9167,3.95,93,100,3.56,CL,1691635214
14,severo-yeniseyskiy,60.3725,93.0408,17.73,55,28,3.33,RU,1691635313
15,hanceville,34.0607,-86.7675,22.95,93,86,1.78,US,1691635314
16,mukalla,14.5425,49.1242,29.11,68,81,2.27,YE,1691635165
17,kualakapuas,-3.0091,114.3876,31.75,45,55,1.93,ID,1691635314
18,kapuskasing,49.4169,-82.4331,18.05,82,75,7.2,CA,1691635314
19,yellowknife,62.456,-114.3525,21.29,43,75,3.6,CA,1691635255
20,doetinchem,51.95,6.2833,13.38,88,11,1.45,NL,1691635314
21,iqaluit,63.7506,-68.5145,5.85,100,100,4.63,CA,1691635251
22,lata,40.1629,-8.3327,17.18,95,46,1.13,PT,1691635314
23,baoqing,46.3317,132.2111,24.49,84,100,2.49,CN,1691635314
24,ha giang,22.8333,104.9833,31.45,75,98,0.7,VN,1691635315
25,port-aux-francais,-49.35,70.2167,3.52,87,97,10.29,TF,1691635206
26,sisimiut,66.9395,-53.6735,4.88,90,100,3.5,GL,1691635315
27,qaqortoq,60.7167,-46.0333,5.81,85,9,0.81,GL,1691635256
28,jiangyou,31.7667,104.7167,30.92,68,72,1.07,CN,1691635315
29,grytviken,-54.2811,-36.5092,-5.04,93,94,1.92,GS,1691635315
30,nuku'alofa,-21.1333,-175.2,24.19,83,75,4.12,TO,1691635256
31,bilibino,68.0546,166.4372,16.84,42,96,3.57,RU,1691635315
32,khandyga,62.6667,135.6,25.43,32,21,1.07,RU,1691635315
33,conceicao da barra,-18.5933,-39.7322,21.17,84,20,1.59,BR,1691635304
34,selma,36.5708,-119.6121,34.03,24,0,0.0,US,1691635192
35,berehove,48.2056,22.6442,15.52,67,79,1.45,UA,1691635316
36,iskateley,67.6803,53.1512,13.55,75,0,2.75,RU,1691635316
37,sola,-13.8833,167.55,22.83,83,100,11.01,VU,1691635316
38,petawawa,45.9001,-77.3328,17.55,92,26,1.26,CA,1691635194
39,wailua homesteads,22.0669,-159.378,31.24,76,100,9.26,US,1691635316
40,puerto ayora,-0.7393,-90.3518,24.19,92,46,2.24,EC,1691635275
41,ondjiva,-17.0667,15.7333,18.02,29,89,2.06,AO,1691635064
42,esmeralda,21.8525,-78.1169,26.06,90,54,3.25,CU,1691635317
43,edinburgh of the seven seas,-37.0676,-12.3116,10.57,54,59,9.78,SH,1691635317
44,puerto natales,-51.7236,-72.4875,2.21,94,84,1.61,CL,1691635317
45,margaret river,-33.95,115.0667,11.91,79,100,1.99,AU,1691635208
46,shingu,33.7333,135.9833,27.6,87,12,5.85,JP,1691635317
47,talnakh,69.4865,88.3972,14.56,51,100,2.8,RU,1691635317
48,mwene-ditu,-7.0,23.45,20.44,37,45,1.95,CD,1691635317
49,ketchikan,55.3422,-131.6461,15.26,94,100,6.17,US,1691635317
50,bethel,41.3712,-73.414,23.6,73,0,3.6,US,1691635207
51,lihue,21.9789,-159.3672,31.58,69,100,9.26,US,1691635318
52,orsova,44.7253,22.3961,15.96,89,100,1.52,RO,1691635318
53,waitangi,-43.9535,-176.5597,11.57,78,3,1.34,NZ,1691635209
54,blackmans bay,-43.0167,147.3167,15.07,63,85,4.17,AU,1691635318
55,albany,42.6001,-73.9662,19.89,82,32,0.45,US,1691635026
